seed,step,action,q0,q1,hl2_mem_mean,hl2_mem_max,hl2_mem_min,obs0,obs1,obs2,obs3
42,82,1,,,-67572.25,155390,-193896,0.628156304359436,-0.028242221102118492,-0.00711103854700923,0.5077347755432129
42,83,1,,,-61492.375,136867,-171205,0.6275914311408997,0.16697919368743896,0.0030436574015766382,0.212819442152977
42,84,1,,,-60414.125,134340,-163689,0.63093101978302,0.36205750703811646,0.007300046272575855,-0.07890181988477707
42,85,1,,,-64711.5,143650,-178422,0.6381721496582031,0.5570740699768066,0.005722010042518377,-0.3692726492881775
42,86,0,,,-65025.6875,141139,-177693,0.6493136286735535,0.7521142363548279,-0.0016634430503472686,-0.6601458787918091
42,87,0,,,-70971.5,153448,-193887,0.6643559336662292,0.5570154786109924,-0.014866360463202,-0.36798718571662903
42,88,0,,,-62095.6875,134489,-164392,0.6754962205886841,0.36210787296295166,-0.022226104512810707,-0.08002866059541702
42,89,0,,,-59059.9375,128075,-162886,0.6827384233474731,0.16731147468090057,-0.023826677352190018,0.2055598348379135
42,90,1,,,-64025.125,139172,-178758,0.6860846281051636,-0.027461783960461617,-0.019715480506420135,0.49063241481781006
42,91,1,,,-65601.875,142682,-181259,0.6855353713035583,0.1679326593875885,-0.009902832098305225,0.1918017417192459
42,92,0,,,-62090.5625,134606,-166922,0.6888940334320068,0.36319485306739807,-0.00606679730117321,-0.10398858785629272
42,93,1,,,-60727.5,135184,-170721,0.6961579322814941,0.16816037893295288,-0.00814656913280487,0.1867741346359253
42,94,1,,,-61667.875,137600,-169021,0.6995211839675903,0.3633979260921478,-0.004411086440086365,-0.10846754908561707
42,95,0,,,-71419.9375,155558,-194651,0.7067891359329224,0.5585828423500061,-0.006580437533557415,-0.40253886580467224
42,96,0,,,-63352.4375,138602,-171428,0.717960774898529,0.36355480551719666,-0.01463121548295021,-0.11193784326314926
42,97,1,,,-62701.3125,142174,-175749,0.7252318859100342,0.16864553093910217,-0.01686997152864933,0.17609335482120514
42,98,0,,,-65801.3125,141761,-178418,0.728604793548584,0.36400479078292847,-0.013348105363547802,-0.12186338752508163
42,99,1,,,-62122.1875,139115,-172405,0.7358848452568054,0.169076606631279,-0.015785371884703636,0.16657863557338715
42,100,0,,,-65431.6875,140598,-176374,0.7392663955688477,0.36442092061042786,-0.012453800067305565,-0.13104203343391418
42,101,0,,,-59485.0625,129683,-159243,0.7465548515319824,0.16947956383228302,-0.01507464051246643,0.1576860100030899
42,102,1,,,-65310.9375,146351,-179152,0.7499443888664246,-0.025423357263207436,-0.011920920573174953,0.44557538628578186
42,103,1,,,-62359.3125,144192,-172400,0.7494359612464905,0.1698652058839798,-0.0030094131361693144,0.14915870130062103
42,104,1,,,-62446.1875,135956,-173038,0.7528332471847534,0.36503010988235474,-2.623917862365488e-05,-0.1444721221923828
42,105,0,,,-69090.375,149877,-188499,0.7601338624954224,0.5601524710655212,-0.0029156815726310015,-0.4371633231639862
42,106,0,,,-64221.125,137685,-174731,0.7713369131088257,0.3650718927383423,-0.011658947914838791,-0.14540094137191772
42,107,0,,,-60536.0625,136473,-165487,0.7786383628845215,0.17011882364749908,-0.014566967263817787,0.14358112215995789
42,108,1,,,-61385.875,139136,-169518,0.7820407152175903,-0.02479151077568531,-0.011695344001054764,0.4316330850124359
42,109,1,,,-62916.5625,145859,-174706,0.7815448641777039,0.17049407958984375,-0.0030626829247921705,0.1352863758802414
42,110,0,,,-65938.0,150611,-182109,0.7849547863006592,0.36565977334976196,-0.00035695536644198,-0.15836121141910553
42,111,1,,,-63162.3125,146091,-174494,0.7922679781913757,0.17054292559623718,-0.003524179570376873,0.13420909643173218
42,112,0,,,-66036.8125,150943,-182374,0.7956787943840027,0.3657151758670807,-0.0008399977232329547,-0.15958358347415924
42,113,0,,,-63391.3125,147056,-175467,0.80299311876297,0.17060525715351105,-0.004031669348478317,0.13283422589302063
42,114,1,,,-61243.25,138830,-172799,0.806405246257782,-0.024458711966872215,-0.0013749846257269382,0.4242424964904785
42,115,1,,,-64403.75,151728,-181042,0.8059160709381104,0.17068268358707428,0.007109865080565214,0.13112643361091614
42,116,0,,,-67816.375,156305,-186306,0.8093296885490417,0.3657020628452301,0.00973239354789257,-0.15930497646331787
42,117,1,,,-63480.6875,150857,-179609,0.8166437745094299,0.1704421490430832,0.006546294316649437,0.13643231987953186
42,118,1,,,-68471.625,159807,-191019,0.8200526237487793,0.36546972393989563,0.009274940937757492,-0.154178187251091
42,119,0,,,-69859.5625,159814,-194885,0.8273620009422302,0.5604576468467712,0.0061913770623505116,-0.44392070174217224
42,120,0,,,-66735.25,154996,-184754,0.8385711312294006,0.3652486503124237,-0.0026870369911193848,-0.14929255843162537
42,121,1,,,-64255.5,149517,-177810,0.8458760976791382,0.1701652854681015,-0.0056728883646428585,0.14254145324230194
42,122,0,,,-67781.875,156466,-186667,0.8492794036865234,0.3653680086135864,-0.0028220592066645622,-0.15192575752735138
42,123,1,,,-63602.9375,150769,-178726,0.856586754322052,0.17028659582138062,-0.005860574077814817,0.13986553251743317
42,124,0,,,-66905.25,153409,-185064,0.859992504119873,0.36549198627471924,-0.0030632636044174433,-0.15466052293777466
42,125,1,,,-63744.6875,149466,-178498,0.8673023581504822,0.1704140305519104,-0.006156473886221647,0.137054443359375
42,126,0,,,-66916.25,153458,-185112,0.8707106113433838,0.3656236231327057,-0.0034153852611780167,-0.15756438672542572
42,127,1,,,-64276.6875,151865,-180692,0.878023087978363,0.17055073380470276,-0.0065666730515658855,0.13403911888599396
42,128,0,,,-67979.3125,158736,-191059,0.8814341425895691,0.36576613783836365,-0.0038858908228576183,-0.1607082486152649
42,129,1,,,-63156.9375,147223,-180009,0.8887494206428528,0.17070001363754272,-0.007100055925548077,0.1307462453842163
42,130,0,,,-68866.375,159684,-192526,0.8921634554862976,0.3659229576587677,-0.004485130775719881,-0.16416816413402557
42,131,1,,,-65620.75,149840,-184272,0.8994818925857544,0.1708654910326004,-0.007768494077026844,0.12709645926952362
42,132,0,,,-68750.375,160053,-193814,0.9028992056846619,0.3660978674888611,-0.005226565059274435,-0.16802719235420227
42,133,1,,,-65474.0625,150041,-184988,0.9102211594581604,0.17105111479759216,-0.008587108924984932,0.12300234287977219
42,134,0,,,-68834.1875,160425,-194186,0.913642168045044,0.3662950396537781,-0.006127062253654003,-0.1723773181438446
42,135,1,,,-65556.6875,151567,-185567,0.9209681153297424,0.17126131057739258,-0.009574608877301216,0.11836643517017365
42,136,0,,,-67525.125,155070,-188325,0.9243932962417603,0.36651912331581116,-0.007207279559224844,-0.17732176184654236
42,137,1,,,-62657.5,140126,-171422,0.9317237138748169,0.1715010553598404,-0.010753714479506016,0.11307883262634277
42,138,0,,,-68936.8125,162057,-193390,0.9351537227630615,0.36677542328834534,-0.008492138236761093,-0.1829773336648941
42,139,0,,,-64486.125,144875,-176938,0.9424892067909241,0.17177601158618927,-0.012151684612035751,0.10701458901166916
42,140,0,,,-61349.4375,136607,-167107,0.9459247589111328,-0.023169709369540215,-0.010011393576860428,0.39583906531333923
42,141,1,,,-64166.6875,143837,-175211,0.9454613327980042,-0.21814818680286407,-0.0020946115255355835,0.6853488683700562
42,142,1,,,-58748.5625,132509,-163035,0.9410983920097351,-0.02299722284078598,0.011612365022301674,0.3920072317123413
42,143,1,,,-63431.875,145578,-177341,0.9406384229660034,0.17195802927017212,0.01945251040160656,0.10300802439451218
42,144,1,,,-69644.1875,166491,-197598,0.9440776109695435,0.3667958676815033,0.021512670442461967,-0.18347477912902832
42,145,0,,,-58558.9375,133075,-162582,0.9514135122299194,0.5616034865379333,0.017843173816800117,-0.46929436922073364
42,146,1,,,-69629.3125,164265,-197941,0.9626455903053284,0.36623409390449524,0.008457287214696407,-0.17104129493236542
42,147,0,,,-56739.875,127533,-154191,0.9699702858924866,0.5612339973449707,0.005036461167037487,-0.4610442519187927
42,148,1,,,-64905.1875,149014,-181707,0.9811949729919434,0.3660412132740021,-0.004184423945844173,-0.166778102517128
42,149,0,,,-59124.6875,127938,-156925,0.9885157942771912,0.5612227916717529,-0.007519986014813185,-0.460778146982193
42,150,0,,,-71244.125,162142,-195974,0.9997402429580688,0.36620795726776123,-0.01673554815351963,-0.17047499120235443
42,151,0,,,-60842.125,134545,-165334,1.0070643424987793,0.17132948338985443,-0.020145049318671227,0.11688175797462463
42,152,1,,,-55832.125,123351,-152879,1.0104910135269165,-0.023498117923736572,-0.017807412892580032,0.4031416177749634
42,153,1,,,-61529.625,137488,-166634,1.0100209712982178,0.17187181115150452,-0.009744580835103989,0.10489809513092041
42,154,0,,,-61253.0625,143143,-169839,1.013458490371704,0.3671320378780365,-0.007646619342267513,-0.19084320962429047
42,155,0,,,-62419.875,139680,-170199,1.020801067352295,0.17212031781673431,-0.011463483795523643,0.09941774606704712
42,156,1,,,-58673.1875,132950,-161196,1.0242434740066528,-0.022835487499833107,-0.00947512872517109,0.38846203684806824
42,157,1,,,-64310.375,144218,-176337,1.0237867832183838,0.17241966724395752,-0.0017058878438547254,0.09280680865049362
42,158,0,,,-62081.5,147020,-173705,1.0272351503372192,0.3675660192966461,0.00015024833555798978,-0.20041383802890778
42,159,1,,,-64391.25,141844,-174285,1.0345865488052368,0.17244192957878113,-0.003858028445392847,0.09231648594141006
42,160,0,,,-61362.6875,144209,-171950,1.0380353927612305,0.36761894822120667,-0.0020116986706852913,-0.20158115029335022
42,161,0,,,-67458.1875,147041,-181354,1.0453877449035645,0.17252583801746368,-0.006043321453034878,0.09046650677919388
42,162,1,,,-68712.5625,160959,-196503,1.0488382577896118,-0.022508971393108368,-0.004233991727232933,0.38123664259910583
42,163,1,,,-65921.5,147690,-180770,1.048388123512268,0.172672837972641,0.0033907415345311165,0.08722176402807236
42,164,0,,,-62575.5,145380,-174136,1.0518414974212646,0.3677460253238678,0.005135176703333855,-0.20438945293426514
42,165,1,,,-66040.4375,147816,-180967,1.0591964721679688,0.1725510209798813,0.001047387602739036,0.08990893512964249
42,166,0,,,-62384.25,144911,-173385,1.0626474618911743,0.36765792965888977,0.002845566254109144,-0.20244336128234863
42,167,1,,,-66017.0,147889,-181088,1.0700006484985352,0.17249540984630585,-0.0012033008970320225,0.09113585203886032
42,168,0,,,-61835.625,142745,-171175,1.0734505653381348,0.3676345944404602,0.0006194160669110715,-0.20192646980285645
42,169,1,,,-65298.9375,145119,-178064,1.0808032751083374,0.1725037842988968,-0.0034191133454442024,0.09095178544521332
42,170,0,,,-61245.8125,139866,-168725,1.0842533111572266,0.3676745891571045,-0.0016000778414309025,-0.20280791819095612
42,171,0,,,-63670.625,138627,-171173,1.0916067361831665,0.17257554829120636,-0.0056562358513474464,0.08936984091997147
42,172,1,,,-65228.8125,151212,-186619,1.0950583219528198,-0.022464876994490623,-0.0038688392378389835,0.3802628815174103
42,173,1,,,-62572.8125,139486,-171966,1.094609022140503,0.1727118045091629,0.003736418206244707,0.08636260777711868
42,174,1,,,-62184.625,144556,-171933,1.0980632305145264,0.36777999997138977,0.00546367047354579,-0.2051391303539276
42,175,0,,,-58769.0625,132545,-158402,1.1054188013076782,0.5628234148025513,0.0013608875451609492,-0.4960935413837433
42,176,0,,,-60836.4375,141764,-167735,1.1166752576828003,0.3676822781562805,-0.008560983464121819,-0.20298205316066742
42,177,0,,,-62356.5625,138421,-168786,1.1240289211273193,0.17268379032611847,-0.012620624154806137,0.08698805421590805
42,178,0,,,-65793.625,153703,-188205,1.1274826526641846,-0.022254999727010727,-0.010880863294005394,0.37566259503364563
42,179,1,,,-58566.5625,135249,-164137,1.127037525177002,-0.2172207236289978,-0.00336761143989861,0.6648949384689331
42,180,1,,,-68263.875,154674,-188979,1.1226930618286133,-0.022052092477679253,0.00993028748780489,0.3711535930633545
42,181,1,,,-62731.4375,145216,-174349,1.122252106666565,0.1729273796081543,0.0173533596098423,0.08161825686693192
42,182,1,,,-69884.0,167072,-198218,1.1257106065750122,0.3677963316440582,0.018985724076628685,-0.2055395245552063
42,183,0,,,-57387.5,129918,-155635,1.1330665349960327,0.5626416802406311,0.01487493421882391,-0.492173433303833
42,184,1,,,-62337.625,146109,-172020,1.1443194150924683,0.3673131465911865,0.00503146555274725,-0.1948399394750595
42,185,0,,,-57081.25,128502,-153995,1.1516656875610352,0.5623627305030823,0.0011346668470650911,-0.4859314262866974
42,186,0,,,-64399.0625,148221,-176187,1.1629128456115723,0.3672248125076294,-0.008583961054682732,-0.19289109110832214
42,187,1,,,-61042.0625,139447,-167861,1.1702574491500854,0.1722266972064972,-0.012441783212125301,0.09707164019346237
42,188,0,,,-62253.625,146312,-170268,1.1737018823623657,0.36752474308013916,-0.010500350035727024,-0.19951052963733673
42,189,0,,,-60285.0625,133722,-162073,1.1810524463653564,0.17255453765392303,-0.014490561559796333,0.08984160423278809
42,190,1,,,-62787.625,143267,-174763,1.1845035552978516,-0.022356752306222916,-0.012693729251623154,0.3779177665710449
42,191,0,,,-60166.375,133664,-162960,1.1840564012527466,0.17294315993785858,-0.005135373678058386,0.08125964552164078
42,192,1,,,-65586.25,146369,-180798,1.1875152587890625,-0.02210480533540249,-0.003510180627927184,0.37231793999671936
42,193,0,,,-60476.625,134615,-163469,1.1870731115341187,0.17306683957576752,0.003936178050935268,0.07853028923273087
42,194,1,,,-66886.1875,149805,-182555,1.1905344724655151,-0.0221113208681345,0.005506783723831177,0.3724524974822998
42,195,1,,,-66062.9375,145958,-177371,1.1900922060012817,0.172931969165802,0.012955833226442337,0.08151097595691681
42,196,1,,,-61632.0625,145783,-173006,1.193550944328308,0.36786583065986633,0.014586052857339382,-0.20705635845661163
42,197,0,,,-56814.8125,125214,-151778,1.2009081840515137,0.5627762079238892,0.010444926097989082,-0.4951026737689972
42,198,0,,,-60269.8125,137373,-164463,1.2121636867523193,0.36750853061676025,0.0005428724689409137,-0.19914637506008148
42,199,0,,,-61298.75,137394,-167184,1.2195138931274414,0.172378808259964,-0.003440055064857006,0.09370775520801544
42,200,1,,,-62185.9375,140947,-171788,1.22296142578125,-0.02269366942346096,-0.0015659000491723418,0.3853033483028412
42,201,1,,,-62563.0625,143142,-172928,1.2225075960159302,0.1724504828453064,0.006140167359262705,0.09212712943553925
42,202,1,,,-58816.0625,137476,-164305,1.225956678390503,0.36748388409614563,0.0079827094450593,-0.1986122727394104
42,203,0,,,-57561.1875,123405,-151939,1.2333062887191772,0.5624907612800598,0.004010464530438185,-0.4887663722038269
42,204,0,,,-57992.5625,132801,-158318,1.2445560693740845,0.3673124611377716,-0.005764862988144159,-0.19482219219207764
42,205,0,,,-64209.875,139623,-170584,1.2519023418426514,0.1722734421491623,-0.009661306627094746,0.09603660553693771
42,206,0,,,-62146.875,141754,-171117,1.2553478479385376,-0.022708721458911896,-0.007740574888885021,0.38565582036972046
42,207,1,,,-56429.1875,129636,-157962,1.2548936605453491,-0.2177199274301529,-2.745834535744507e-05,0.675888180732727
42,208,1,,,-66826.375,151571,-184609,1.2505393028259277,-0.022597601637244225,0.013490305282175541,0.3831965923309326
42,209,1,,,-61022.125,139318,-166932,1.2500872611999512,0.17233024537563324,0.021154236048460007,0.09479746967554092
42,210,1,,,-66752.5,158889,-187317,1.253533959388733,0.3671427071094513,0.023050185292959213,-0.19113697111606598
42,211,0,,,-58736.1875,134754,-160812,1.2608767747879028,0.5619274377822876,0.019227446988224983,-0.4764603078365326
42,212,1,,,-65501.5625,152274,-180448,1.2721153497695923,0.3665393590927124,0.009698240086436272,-0.17777983844280243
42,213,0,,,-58872.5625,133477,-158199,1.2794461250305176,0.5615211725234985,0.006142643745988607,-0.4673875868320465
42,214,0,,,-61507.3125,145146,-171663,1.290676474571228,0.36631301045417786,-0.0032051079906523228,-0.17277489602565765
42,215,1,,,-63363.5,140280,-171971,1.29800283908844,0.1712370663881302,-0.006660605780780315,0.11889520287513733
42,216,0,,,-60244.5,142085,-167028,1.3014274835586548,0.36645379662513733,-0.004282701760530472,-0.17588162422180176
42,217,1,,,-63364.6875,140335,-171925,1.3087565898895264,0.17139340937137604,-0.007800334133207798,0.11544717848300934
42,218,0,,,-61477.875,146326,-169294,1.312184453010559,0.3666262626647949,-0.005491390824317932,-0.17968645691871643
42,219,0,,,-66433.8125,149791,-177340,1.3195170164108276,0.17158330976963043,-0.00908511970192194,0.1112590879201889
42,220,1,,,-65873.375,150669,-181873,1.322948694229126,-0.023407282307744026,-0.006859938148409128,0.40106192231178284
42,221,1,,,-62020.9375,142029,-168977,1.32248055934906,0.1718112975358963,0.001161300460807979,0.10622413456439972
42,222,1,,,-65463.1875,152485,-180516,1.3259167671203613,0.36691659688949585,0.0032857831101864576,-0.18609218299388885
42,223,0,,,-56386.6875,125565,-151317,1.3332550525665283,0.5619913935661316,-0.0004360604507382959,-0.47773677110671997
42,224,0,,,-60177.375,141936,-166953,1.3444949388504028,0.3668755888938904,-0.009990795515477657,-0.1851913034915924
42,225,0,,,-60775.0625,138603,-164051,1.351832389831543,0.1718979924917221,-0.013694621622562408,0.10432323813438416
42,226,1,,,-65595.5625,149012,-180343,1.3552703857421875,-0.02302505262196064,-0.011608157306909561,0.39265429973602295
42,227,1,,,-56801.25,132786,-156812,1.3548098802566528,0.17225968837738037,-0.0037550709675997496,0.09633419662714005
42,228,0,,,-64463.4375,151316,-179409,1.3582550287246704,0.3674352467060089,-0.0018283870304003358,-0.1975310742855072
42,229,1,,,-57040.0625,133662,-157765,1.3656038045883179,0.1723395138978958,-0.0057790083810687065,0.09457451105117798
42,230,0,,,-64353.1875,150851,-178912,1.3690505027770996,0.3675438165664673,-0.003887518309056759,-0.19992606341838837
42,231,1,,,-57110.8125,133633,-157896,1.376401424407959,0.17247767746448517,-0.007886040024459362,0.09152799844741821
42,232,0,,,-57255.6875,133454,-157242,1.37985098361969,0.36771175265312195,-0.006055479869246483,-0.20363250374794006
42,233,1,,,-56442.5625,130936,-155268,1.3872052431106567,0.1726769357919693,-0.010128130204975605,0.08713407814502716
42,234,0,,,-57464.0,134377,-158114,1.3906587362289429,0.36794260144233704,-0.008385448716580868,-0.20872700214385986
